epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.38399,1.4051,0.59639,1,0.67753,0.000164659,0.000164659,0.0672329
2,9.29917,0.66383,0.63253,1,0.6548,0.000324765,0.000324765,0.0340597
3,13.0413,0.63902,0.71386,1,0.56076,0.000478271,0.000478271,0.000879878
4,16.6804,0.55443,0.69578,1,0.63949,0.0004703,0.0004703,0.0004703
5,20.289,0.57441,0.66867,1,0.57669,0.0004604,0.0004604,0.0004604
6,23.9819,0.55721,0.73795,1,0.52901,0.0004505,0.0004505,0.0004505
7,27.6905,0.52447,0.73494,1,0.52987,0.0004406,0.0004406,0.0004406
8,31.4293,0.48959,0.75602,1,0.50615,0.0004307,0.0004307,0.0004307
9,35.1618,0.4762,0.75602,1,0.51743,0.0004208,0.0004208,0.0004208
10,38.8498,0.48228,0.78012,1,0.50565,0.0004109,0.0004109,0.0004109
11,42.4398,0.47639,0.79518,1,0.49788,0.000401,0.000401,0.000401
12,46.163,0.41805,0.80422,1,0.48356,0.0003911,0.0003911,0.0003911
13,49.7952,0.40847,0.79819,1,0.44997,0.0003812,0.0003812,0.0003812
14,53.3466,0.37702,0.78313,1,0.47701,0.0003713,0.0003713,0.0003713
15,57.0076,0.36554,0.78313,1,0.43145,0.0003614,0.0003614,0.0003614
16,60.5908,0.36517,0.80422,1,0.45691,0.0003515,0.0003515,0.0003515
17,64.3243,0.34821,0.83434,1,0.40288,0.0003416,0.0003416,0.0003416
18,67.9833,0.29883,0.81627,1,0.45516,0.0003317,0.0003317,0.0003317
19,71.4023,0.29346,0.82831,1,0.4582,0.0003218,0.0003218,0.0003218
20,74.9842,0.28087,0.83735,1,0.41486,0.0003119,0.0003119,0.0003119
21,78.5458,0.27999,0.83434,1,0.39227,0.000302,0.000302,0.000302
22,82.0658,0.27739,0.85542,1,0.37702,0.0002921,0.0002921,0.0002921
23,85.6317,0.26223,0.82831,1,0.44401,0.0002822,0.0002822,0.0002822
24,89.1602,0.23388,0.79518,1,0.50144,0.0002723,0.0002723,0.0002723
25,92.7493,0.25169,0.87349,1,0.38066,0.0002624,0.0002624,0.0002624
26,96.3352,0.23084,0.85542,1,0.37689,0.0002525,0.0002525,0.0002525
27,99.8345,0.22753,0.86747,1,0.42385,0.0002426,0.0002426,0.0002426
28,103.384,0.20189,0.86747,1,0.39598,0.0002327,0.0002327,0.0002327
29,106.906,0.17628,0.86145,1,0.39996,0.0002228,0.0002228,0.0002228
30,110.515,0.17278,0.86446,1,0.39118,0.0002129,0.0002129,0.0002129
31,114.066,0.17012,0.87349,1,0.398,0.000203,0.000203,0.000203
32,117.669,0.19276,0.86747,1,0.42472,0.0001931,0.0001931,0.0001931
33,121.129,0.17529,0.86145,1,0.3791,0.0001832,0.0001832,0.0001832
34,124.765,0.16222,0.86145,1,0.48919,0.0001733,0.0001733,0.0001733
35,128.393,0.13876,0.86747,1,0.44692,0.0001634,0.0001634,0.0001634
36,132.021,0.13218,0.84639,1,0.43077,0.0001535,0.0001535,0.0001535
37,135.69,0.13066,0.85843,1,0.50234,0.0001436,0.0001436,0.0001436
38,139.844,0.14731,0.86145,1,0.41322,0.0001337,0.0001337,0.0001337
39,143.393,0.13713,0.87048,1,0.40559,0.0001238,0.0001238,0.0001238
40,147.083,0.13117,0.87952,1,0.39195,0.0001139,0.0001139,0.0001139
41,171.241,0.09202,0.87349,1,0.39199,0.000104,0.000104,0.000104
42,174.785,0.12159,0.86747,1,0.45689,9.41e-05,9.41e-05,9.41e-05
43,178.503,0.08814,0.87651,1,0.40579,8.42e-05,8.42e-05,8.42e-05
44,182.129,0.10939,0.88855,1,0.3997,7.43e-05,7.43e-05,7.43e-05
45,185.831,0.09201,0.88855,1,0.44281,6.44e-05,6.44e-05,6.44e-05
46,189.456,0.09186,0.89157,1,0.38452,5.45e-05,5.45e-05,5.45e-05
47,193.033,0.09652,0.88855,1,0.38091,4.46e-05,4.46e-05,4.46e-05
48,196.695,0.11322,0.89157,1,0.42177,3.47e-05,3.47e-05,3.47e-05
49,200.461,0.09665,0.89157,1,0.38295,2.48e-05,2.48e-05,2.48e-05
50,204.311,0.0836,0.88554,1,0.39355,1.49e-05,1.49e-05,1.49e-05
